第四課 {
    部屋                へや②
    庭                  にわ②
    家                  いえ②
    居間②               いま②
    冷蔵庫              れいぞうこ③
    壁                  かべ②
    スイッチ            スイッチ②
    本棚                ほんだな①
    ベッド              ベッド①                     bed
    猫                  ねこ①
    犬                  いぬ②
    箱                  はこ②
    眼鏡                めがね①
    ビデオ              ビデオ①                     video、录音机
    サッカーボール      サッカーボール⑤
    ビール              ビール①
    ウイスキー          ウイスキー③
    子供                こども③
    兄弟                きょうだい①                 兄弟、姊妹
    両親                りょうしん①
    妹                  いもうと④
    男                  おとこ③
    女                  おんな③
    生徒                せいと①
    上                  うえ②
    外                  そと①
    中                  なか①
    下                  した②
    前                  まえ①
    後ろ                うしろ③
    近く                ちかく①
    場所                ばしょ③
    教室                きょうしつ⑤
    会議室              かいぎしつ⑤
    図書室              としょしつ③
    公園                こうえん④
    花屋                はなや②
    売店                ばいてん④
    駅                  えき①
    地下鉄              ちかてつ④
    木                  き
    一人暮らし          ひとりぐらし④

    ある                ある①

    居る                いる②

    ええと              ええと③

    横浜                よこはま④
    名古屋              なごや①
    大阪                おおさか④

    ジェーアール        ジェーアール④

}
